"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"32625-9642","PG","Russell","Russell Westbrook","Westbrook","54.471110026041664","45","12000","MEM@OKC","OKC","MEM","","","","",""
"32625-12341","SF","Paul","Paul George","George","49.34807880108173","52","11600","MEM@OKC","OKC","MEM","","","","",""
"32625-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","47.77547354068396","53","11100","MIN@ORL","MIN","ORL","","","","",""
"32625-14498","PG","Kyrie","Kyrie Irving","Irving","43.855555555555554","45","10400","LAL@BOS","BOS","LAL","","","","",""
"32625-9488","SF","LeBron","LeBron James","James","50.286112467447914","36","10300","LAL@BOS","LAL","BOS","","","","",""
"32625-14513","SF","Kawhi","Kawhi Leonard","Leonard","46.40000059546494","41","10100","TOR@ATL","TOR","ATL","","","","",""
"32625-20848","PG","Damian","Damian Lillard","Lillard","42.95576829176683","52","9600","SA@POR","POR","SA","","","","",""
"32625-14514","C","Nikola","Nikola Vucevic","Vucevic","44.96980947818396","53","9600","MIN@ORL","ORL","MIN","","","","",""
"32625-9575","PG","Mike","Mike Conley","Conley","37.4509438568691","53","9200","MEM@OKC","MEM","OKC","","","","",""
"32625-55057","C","Jusuf","Jusuf Nurkic","Nurkic","37.75961538461539","52","8700","SA@POR","POR","SA","","","","",""
"32625-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","39.01272638494318","55","8500","SA@POR","SA","POR","GTD","Rest","","",""
"32625-9581","C","Marc","Marc Gasol","Gasol","37.77358490566038","53","8300","TOR@ATL","TOR","ATL","O","Not injury related","","",""
"32625-9662","SG","Lou","Lou Williams","Williams","31.02448879942602","49","8200","LAC@IND","LAC","IND","","","","",""
"32625-23776","PF","Montrezl","Montrezl Harrell","Harrell","31.78181818181818","55","8000","LAC@IND","LAC","IND","","","","",""
"32625-9535","PG","Kyle","Kyle Lowry","Lowry","36.10697617641715","43","7900","TOR@ATL","TOR","ATL","","","","",""
"32625-9714","SG","DeMar","DeMar DeRozan","DeRozan","39.998039694393384","51","7900","SA@POR","SA","POR","GTD","Rest","","",""
"32625-58253","C","Myles","Myles Turner","Turner","32.87142757493623","49","7700","LAC@IND","IND","LAC","","","","",""
"32625-19067","SG","CJ","CJ McCollum","McCollum","31.88269277719351","52","7500","SA@POR","POR","SA","","","","",""
"32625-80806","PG","Lonzo","Lonzo Ball","Ball","27.865956407912233","47","7500","LAL@BOS","LAL","BOS","O","Ankle","","",""
"32625-9453","C","Al","Al Horford","Horford","31.625","44","7500","LAL@BOS","BOS","LAL","","","","",""
"32625-66236","PF","John","John Collins","Collins","34.737839157516895","37","7400","TOR@ATL","ATL","TOR","","","","",""
"32625-84671","PG","Trae","Trae Young","Young","31.07547169811321","53","7100","TOR@ATL","ATL","TOR","","","","",""
"32625-41594","PF","Aaron","Aaron Gordon","Gordon","32.45800048828125","50","7000","MIN@ORL","ORL","MIN","","","","",""
"32625-23169","C","Steven","Steven Adams","Adams","34.794117647058826","51","7000","MEM@OKC","OKC","MEM","","","","",""
"32625-9624","PG","Darren","Darren Collison","Collison","25.80925835503472","54","7000","LAC@IND","IND","LAC","","","","",""
"32625-9637","SF","Danilo","Danilo Gallinari","Gallinari","31.48636419122869","44","7000","LAC@IND","LAC","IND","","","","",""
"32625-42677","PG","Terry","Terry Rozier","Rozier","21.166666666666668","54","7000","LAL@BOS","BOS","LAL","","","","",""
"32625-80808","PF","Jayson","Jayson Tatum","Tatum","30.5666662145544","54","6800","LAL@BOS","BOS","LAL","","","","",""
"32625-9957","PF","Serge","Serge Ibaka","Ibaka","31.25882257199755","51","6700","TOR@ATL","TOR","ATL","","","","",""
"32625-20491","SF","Robert","Robert Covington","Covington","30.9028564453125","35","6600","MIN@ORL","MIN","ORL","O","Ankle","","",""
"32625-60021","PF","Pascal","Pascal Siakam","Siakam","30.874073169849538","54","6500","TOR@ATL","TOR","ATL","","","","",""
"32625-9666","PF","Thaddeus","Thaddeus Young","Young","28.170369466145832","54","6500","LAC@IND","IND","LAC","","","","",""
"32625-84683","PF","Jaren","Jaren Jackson Jr.","Jackson Jr.","26.48148148148148","54","6500","MEM@OKC","MEM","OKC","","","","",""
"32625-59358","PF","Domantas","Domantas Sabonis","Sabonis","30.744229830228367","52","6400","LAC@IND","IND","LAC","","","","",""
"32625-67025","PF","Ivan","Ivan Rabb","Rabb","9.72","25","6300","MEM@OKC","MEM","OKC","","","","",""
"32625-49675","PG","Derrick","Derrick White","White","22.184444173177084","45","6100","SA@POR","SA","POR","O","Heel","","",""
"32625-9455","PG","Rajon","Rajon Rondo","Rondo","27.125","20","6100","LAL@BOS","LAL","BOS","","","","",""
"32625-23096","SG","Evan","Evan Fournier","Fournier","25.028301886792452","53","6000","MIN@ORL","ORL","MIN","","","","",""
"32625-9577","SF","Rudy","Rudy Gay","Gay","28.51086956521739","46","6000","SA@POR","SA","POR","","","","",""
"32625-84680","PG","Shai","Shai Gilgeous-Alexander","Gilgeous-Alexander","20.958180930397727","55","6000","LAC@IND","LAC","IND","","","","",""
"32625-49116","SG","Andrew","Andrew Wiggins","Wiggins","29.6163255341199","49","6000","MIN@ORL","MIN","ORL","","","","",""
"32625-23831","PF","Jerami","Jerami Grant","Grant","26.50566129864387","53","5900","MEM@OKC","OKC","MEM","","","","",""
