Player,Pos,Age,Tm
Alex Abrines,SG,23,OKC
Quincy Acy,PF,26,TOT
Quincy Acy,PF,26,DAL
Quincy Acy,PF,26,BRK
Steven Adams,C,23,OKC
Arron Afflalo,SG,31,SAC
Alexis Ajinca,C,28,NOP
Cole Aldrich,C,28,MIN
LaMarcus Aldridge,PF,31,SAS
Lavoy Allen,PF,27,IND
Tony Allen,SG,35,MEM
Al-Farouq Aminu,SF,26,POR
Chris Andersen,C,38,CLE
Alan Anderson,SF,34,LAC
Justin Anderson,SF,23,TOT
Justin Anderson,SF,23,DAL
Justin Anderson,SF,23,PHI
Kyle Anderson,SG,23,SAS
Ryan Anderson,PF,28,HOU
Giannis Antetokounmpo,SF,22,MIL
Carmelo Anthony,SF,32,NYK
Joel Anthony,C,34,SAS
Trevor Ariza,SF,31,HOU
Darrell Arthur,PF,28,DEN
Omer Asik,C,30,NOP
D.J. Augustin,PG,29,ORL
Luke Babbitt,SF,27,MIA
Ron Baker,SG,23,NYK
Wade Baldwin,PG,20,MEM
Leandro Barbosa,SG,34,PHO
J.J. Barea,PG,32,DAL
Harrison Barnes,PF,24,DAL
Matt Barnes,SF,36,TOT
Matt Barnes,SF,36,SAC
Matt Barnes,SF,36,GSW
Will Barton,SG,26,DEN
Brandon Bass,PF,31,LAC
Nicolas Batum,SG,28,CHO
Jerryd Bayless,PG,28,PHI
Aron Baynes,C,30,DET
Kent Bazemore,SF,27,ATL
Bradley Beal,SG,23,WAS
Malik Beasley,SG,20,DEN
Michael Beasley,PF,28,MIL
Marco Belinelli,SG,30,CHO
DeAndre' Bembry,SF,22,ATL
Dragan Bender,PF,19,PHO
Anthony Bennett,PF,23,BRK
Ben Bentil,PF,21,DAL
Davis Bertans,PF,24,SAS
Patrick Beverley,SG,28,HOU
Bismack Biyombo,C,24,ORL
Nemanja Bjelica,PF,28,MIN
Tarik Black,C,25,LAL
Eric Bledsoe,PG,27,PHO
Bojan Bogdanovic,SF,27,TOT
Bojan Bogdanovic,SF,27,BRK
Bojan Bogdanovic,SF,27,WAS
Andrew Bogut,C,32,TOT
Andrew Bogut,C,32,DAL
Andrew Bogut,C,32,CLE
Joel Bolomboy,PF,23,UTA
Devin Booker,SG,20,PHO
Trevor Booker,PF,29,BRK
Avery Bradley,SG,26,BOS
Corey Brewer,SF,30,TOT
Corey Brewer,SF,30,HOU
Corey Brewer,SF,30,LAL
Malcolm Brogdon,SG,24,MIL
Aaron Brooks,PG,32,IND
Anthony Brown,SF,24,TOT
Anthony Brown,SF,24,NOP
Anthony Brown,SF,24,ORL
Bobby Brown,PG,32,HOU
Jaylen Brown,SF,20,BOS
Nicolas Brussino,SF,23,DAL
Reggie Bullock,SF,25,DET
Trey Burke,PG,24,WAS
Alec Burks,SG,25,UTA
Jimmy Butler,SF,27,CHI
Bruno Caboclo,SF,21,TOR
Jose Calderon,PG,35,TOT
Jose Calderon,PG,35,LAL
Jose Calderon,PG,35,ATL
Kentavious Caldwell-Pope,SG,23,DET
Isaiah Canaan,SG,25,CHI
Clint Capela,C,22,HOU
DeMarre Carroll,SF,30,TOR
Vince Carter,SF,40,MEM
Michael Carter-Williams,PG,25,CHI
Omri Casspi,SF,28,TOT
Omri Casspi,SF,28,SAC
Omri Casspi,SF,28,NOP
Omri Casspi,SF,28,MIN
Willie Cauley-Stein,C,23,SAC
Tyson Chandler,C,34,PHO
Wilson Chandler,SF,29,DEN
Marquese Chriss,PF,19,PHO
Rakeem Christmas,PF,25,IND
Semaj Christon,PG,24,OKC
Ian Clark,SG,25,GSW
Jordan Clarkson,SG,24,LAL
Norris Cole,PG,28,OKC
Darren Collison,PG,29,SAC
Nick Collison,PF,36,OKC
Mike Conley,PG,29,MEM
Pat Connaughton,SG,24,POR
Quinn Cook,PG,23,TOT
Quinn Cook,PG,23,DAL
Quinn Cook,PG,23,NOP
DeMarcus Cousins,C,26,TOT
DeMarcus Cousins,C,26,SAC
DeMarcus Cousins,C,26,NOP
Robert Covington,SF,26,PHI
Allen Crabbe,SG,24,POR
Jamal Crawford,SG,36,LAC
Jordan Crawford,SG,28,NOP
Jae Crowder,SF,26,BOS
Dante Cunningham,SF,29,NOP
Seth Curry,PG,26,DAL
Stephen Curry,PG,28,GSW
Troy Daniels,SG,25,MEM
Anthony Davis,C,23,NOP
Deyonta Davis,C,20,MEM
Ed Davis,PF,27,POR
Dewayne Dedmon,C,27,SAS
Sam Dekker,SF,22,HOU
Malcolm Delaney,PG,27,ATL
Matthew Dellavedova,PG,26,MIL
Luol Deng,SF,31,LAL
DeMar DeRozan,SG,27,TOR
Cheick Diallo,PF,20,NOP
Boris Diaw,PF,34,UTA
Gorgui Dieng,PF,27,MIN
Spencer Dinwiddie,PG,23,BRK
Toney Douglas,PG,30,MEM
Goran Dragic,PG,30,MIA
Andre Drummond,C,23,DET
Jared Dudley,PF,31,PHO
Mike Dunleavy,SF,36,TOT
Mike Dunleavy,SF,36,CLE
Mike Dunleavy,SF,36,ATL
Kris Dunn,PG,22,MIN
Kevin Durant,SF,28,GSW
Jarell Eddie,SF,25,PHO
Henry Ellenson,PF,20,DET
Wayne Ellington,SG,29,MIA
Monta Ellis,SG,31,IND
Joel Embiid,C,22,PHI
James Ennis,SF,26,MEM
Tyler Ennis,PG,22,TOT
Tyler Ennis,PG,22,HOU
Tyler Ennis,PG,22,LAL
Tyreke Evans,SF,27,TOT
Tyreke Evans,SF,27,NOP
Tyreke Evans,SF,27,SAC
Dante Exum,PG,21,UTA
Kenneth Faried,PF,27,DEN
Jordan Farmar,PG,30,SAC
Derrick Favors,PF,25,UTA
Kay Felder,PG,21,CLE
Cristiano Felicio,C,24,CHI
Raymond Felton,PG,32,LAC
Yogi Ferrell,PG,23,TOT
Yogi Ferrell,PG,23,BRK
Yogi Ferrell,PG,23,DAL
Dorian Finney-Smith,PF,23,DAL
Bryn Forbes,SG,23,SAS
Evan Fournier,SG,24,ORL
Randy Foye,SG,33,BRK
Tim Frazier,PG,26,NOP
Channing Frye,C,33,CLE
Danilo Gallinari,SF,28,DEN
Langston Galloway,PG,25,TOT
Langston Galloway,PG,25,NOP
Langston Galloway,PG,25,SAC
Patricio Garino,SG,23,ORL
Marc Gasol,C,32,MEM
Pau Gasol,C,36,SAS
Rudy Gay,SF,30,SAC
Michael Gbinije,SG,24,DET
Alonzo Gee,SF,29,DEN
Paul George,SF,26,IND
Marcus Georges-Hunt,SG,22,ORL
Jonathan Gibson,PG,29,DAL
Taj Gibson,PF,31,TOT
Taj Gibson,PF,31,CHI
Taj Gibson,PF,31,OKC
Manu Ginobili,SG,39,SAS
Rudy Gobert,C,24,UTA
Archie Goodwin,SG,22,TOT
Archie Goodwin,SG,22,NOP
Archie Goodwin,SG,22,BRK
Aaron Gordon,SF,21,ORL
Eric Gordon,SG,28,HOU
Marcin Gortat,C,32,WAS
Treveon Graham,SG,23,CHO
Jerami Grant,SF,22,TOT
Jerami Grant,SF,22,PHI
Jerami Grant,SF,22,OKC
Jerian Grant,PG,24,CHI
Danny Green,SG,29,SAS
Draymond Green,PF,26,GSW
Gerald Green,SF,31,BOS
JaMychal Green,PF,26,MEM
Jeff Green,PF,30,ORL
Blake Griffin,PF,27,LAC
Justin Hamilton,C,26,BRK
A.J. Hammons,C,24,DAL
Tim Hardaway,SG,24,ATL
James Harden,PG,27,HOU
Maurice Harkless,SF,23,POR
Justin Harper,PF,27,PHI
Montrezl Harrell,C,23,HOU
Devin Harris,PG,33,DAL
Gary Harris,SG,22,DEN
Joe Harris,SG,25,BRK
Manny Harris,SG,27,DAL
Tobias Harris,PF,24,DET
Aaron Harrison,SG,22,CHO
Andrew Harrison,PG,22,MEM
Udonis Haslem,C,36,MIA
Spencer Hawes,PF,28,TOT
Spencer Hawes,PF,28,CHO
Spencer Hawes,PF,28,MIL
Gordon Hayward,SF,26,UTA
Gerald Henderson,SG,29,PHI
John Henson,C,26,MIL
Juan Hernangomez,PF,21,DEN
Willy Hernangomez,C,22,NYK
Mario Hezonja,SF,21,ORL
Roy Hibbert,C,30,TOT
Roy Hibbert,C,30,CHO
Roy Hibbert,C,30,DEN
Buddy Hield,SG,23,TOT
Buddy Hield,SG,23,NOP
Buddy Hield,SG,23,SAC
Nene Hilario,C,34,HOU
George Hill,PG,30,UTA
Jordan Hill,C,29,MIN
Solomon Hill,SF,25,NOP
Darrun Hilliard,SG,23,DET
Jrue Holiday,PG,26,NOP
Justin Holiday,SG,27,NYK
Rondae Hollis-Jefferson,SF,22,BRK
Richaun Holmes,C,23,PHI
Rodney Hood,SG,24,UTA
Al Horford,C,30,BOS
Danuel House,SG,23,WAS
Dwight Howard,C,31,ATL
Marcelo Huertas,PG,33,LAL
Josh Huestis,PF,25,OKC
Kris Humphries,PF,31,ATL
R.J. Hunter,SG,23,CHI
Serge Ibaka,PF,27,TOT
Serge Ibaka,PF,27,ORL
Serge Ibaka,PF,27,TOR
Andre Iguodala,SF,33,GSW
Ersan Ilyasova,PF,29,TOT
Ersan Ilyasova,PF,29,OKC
Ersan Ilyasova,PF,29,PHI
Ersan Ilyasova,PF,29,ATL
Joe Ingles,SF,29,UTA
Brandon Ingram,SF,19,LAL
Kyrie Irving,PG,24,CLE
Jarrett Jack,PG,33,NOP
Demetrius Jackson,PG,22,BOS
Pierre Jackson,PG,25,DAL
Reggie Jackson,PG,26,DET
LeBron James,SF,32,CLE
Al Jefferson,C,32,IND
Richard Jefferson,SF,36,CLE
John Jenkins,SG,25,PHO
Brandon Jennings,PG,27,TOT
Brandon Jennings,PG,27,NYK
Brandon Jennings,PG,27,WAS
Jonas Jerebko,PF,29,BOS
Amir Johnson,PF,29,BOS
Brice Johnson,PF,22,LAC
James Johnson,PF,29,MIA
Joe Johnson,SF,35,UTA
Stanley Johnson,SF,20,DET
Tyler Johnson,PG,24,MIA
Wesley Johnson,SF,29,LAC
Nikola Jokic,C,21,DEN
Dahntay Jones,SF,36,CLE
Damian Jones,C,21,GSW
Derrick Jones,SF,19,PHO
James Jones,SF,36,CLE
Terrence Jones,PF,25,TOT
Terrence Jones,PF,25,NOP
Terrence Jones,PF,25,MIL
Tyus Jones,PG,20,MIN
DeAndre Jordan,C,28,LAC
Cory Joseph,PG,25,TOR
Frank Kaminsky,C,23,CHO
Enes Kanter,C,24,OKC
Ryan Kelly,PF,25,ATL
Michael Kidd-Gilchrist,SF,23,CHO
Sean Kilpatrick,SG,27,BRK
Brandon Knight,SG,25,PHO
Kyle Korver,SG,35,TOT
Kyle Korver,SG,35,ATL
Kyle Korver,SG,35,CLE
Kosta Koufos,C,27,SAC
Mindaugas Kuzminskas,SF,27,NYK
Skal Labissiere,PF,20,SAC
Jeremy Lamb,SG,24,CHO
Nicolas Laprovittola,PG,27,SAS
Joffrey Lauvergne,PF-C,25,TOT
Joffrey Lauvergne,PF,25,OKC
Joffrey Lauvergne,C,25,CHI
Zach LaVine,SG,21,MIN
Ty Lawson,PG,29,SAC
Jake Layman,SF,22,POR
Courtney Lee,SG,31,NYK
David Lee,PF,33,SAS
Alex Len,C,23,PHO
Kawhi Leonard,SF,25,SAS
Meyers Leonard,PF,24,POR
Jon Leuer,PF,27,DET
Caris LeVert,SF,22,BRK
DeAndre Liggins,SG,28,TOT
DeAndre Liggins,SG,28,CLE
DeAndre Liggins,SG,28,DAL
Damian Lillard,PG,26,POR
Jeremy Lin,PG,28,BRK
Shaun Livingston,PG,31,GSW
Shawn Long,C,24,PHI
Kevon Looney,C,20,GSW
Brook Lopez,C,28,BRK
Robin Lopez,C,28,CHI
Kevin Love,PF,28,CLE
Kyle Lowry,PG,30,TOR
John Lucas III,PG,34,MIN
Timothe Luwawu-Cabarrot,SF,21,PHI
Trey Lyles,PF,21,UTA
Sheldon Mac,SG,24,WAS
Shelvin Mack,PG,26,UTA
Ian Mahinmi,C,30,WAS
Thon Maker,C,19,MIL
Boban Marjanovic,C,28,DET
Jarell Martin,PF,22,MEM
Wesley Matthews,SG,30,DAL
Luc Mbah a Moute,SF,30,LAC
James Michael McAdoo,PF,24,GSW
Patrick McCaw,SG,21,GSW
C.J. McCollum,SG,25,POR
T.J. McConnell,PG,24,PHI
Chris McCullough,PF,21,TOT
Chris McCullough,PF,21,BRK
Chris McCullough,PF,21,WAS
K.J. McDaniels,SF,23,TOT
K.J. McDaniels,SF,23,HOU
K.J. McDaniels,SF,23,BRK
Doug McDermott,SF,25,TOT
Doug McDermott,SF,25,CHI
Doug McDermott,SF,25,OKC
JaVale McGee,C,29,GSW
Rodney McGruder,SG,25,MIA
Ben McLemore,SG,23,SAC
Jordan McRae,SG,25,CLE
Josh McRoberts,PF,29,MIA
Jodie Meeks,SG,29,ORL
Salah Mejri,C,30,DAL
Jordan Mickey,PF,22,BOS
Khris Middleton,SF,25,MIL
C.J. Miles,SF,29,IND
Mike Miller,SF,36,DEN
Patty Mills,PG,28,SAS
Elijah Millsap,SG,29,PHO
Paul Millsap,PF,31,ATL
Nikola Mirotic,PF,25,CHI
Greg Monroe,C,26,MIL
E'Twaun Moore,SG,27,NOP
