"PLAYER","POS","TEAM","OPP","PTS","fd exp","dk exp","REB","AST","FGM","FTM","BLK"
"Russell Westbrook","PG","OKC","MEM","22.1","52.8","57.8","11.9","11.1","7.8","5.3","0.4"
"LeBron James","SF","LAL","@BOS","25.6","45.3","53.2","9.3","7.2","9.6","4.9","0.9"
"Kawhi Leonard","SF","TOR","@ATL","29.7","44.5","48.1","8.4","3.8","9.9","7.5","0.7"
"Karl-Anthony Towns","C","MIN","@ORL","24.6","48.9","50.7","13.4","4.0","8.8","5.1","1.8"
"Mike Conley","PG","MEM","@OKC","25.4","40.5","43.0","4.4","8.0","8.7","5.0","0.3"
"Damian Lillard","PG","POR","SA","26.3","42.3","44.0","4.5","6.8","8.8","5.4","0.4"
"Paul George","SF","OKC","MEM","27.0","51.1","51.2","8.0","3.4","9.0","5.6","0.5"
"Kyle Lowry","PG","TOR","@ATL","18.2","34.8","36.3","5.6","8.9","5.8","3.6","0.5"
"Nikola Vucevic","C","ORL","MIN","20.0","42.3","47.6","12.1","3.7","8.6","1.9","1.6"
"Kyrie Irving","PG","BOS","LAL","23.0","45.8","48.6","4.2","6.2","8.8","3.1","0.4"
"Louis Williams","SG","LAC","@IND","24.7","36.1","37.9","4.5","5.9","7.8","6.9","0.3"
"DeMar DeRozan","SG","SA","@POR","20.0","34.8","38.9","5.4","5.7","7.4","4.8","0.4"
"Darren Collison","PG","IND","LAC","15.1","30.8","32.7","3.5","7.3","5.6","2.2","0.2"
"Trae Young","PG","ATL","TOR","17.2","31.3","35.3","3.2","7.4","5.9","3.6","0.2"
"C.J. McCollum","SG","POR","SA","22.2","33.0","35.8","3.9","3.3","8.6","2.2","0.4"
"John Collins","PF","ATL","TOR","19.1","32.6","41.4","9.0","2.1","7.5","3.1","0.6"
"Andrew Wiggins","SF","MIN","@ORL","20.4","26.4","30.2","5.1","3.0","7.3","3.9","0.6"
"Aaron Gordon","SF","ORL","MIN","17.3","30.8","33.8","7.5","3.4","6.5","2.5","1.0"
"Jusuf Nurkic","C","POR","SA","14.6","38.3","40.4","9.5","3.4","5.8","3.1","1.6"
"Montrezl Harrell","C","LAC","@IND","17.7","35.2","36.8","8.8","1.8","7.2","3.3","1.7"
"Pascal Siakam","PF","TOR","@ATL","16.6","28.6","31.7","8.0","3.1","6.5","2.7","0.8"
"Rudy Gay","SF","SA","@POR","16.2","26.4","29.7","7.5","3.0","6.4","2.3","0.8"
"Myles Turner","C","IND","LAC","16.1","33.9","33.3","8.2","1.8","6.3","2.4","1.9"
"Domantas Sabonis","PF","IND","LAC","14.3","28.2","30.2","9.8","2.8","5.7","2.6","0.4"
"Danilo Gallinari","SF","LAC","@IND","18.4","30.8","30.7","6.6","2.2","5.5","5.0","0.3"
"Dennis Schroder","PG","OKC","MEM","17.8","22.9","25.1","3.6","4.4","6.7","2.8","0.2"
"Jerryd Bayless","PG","MIN","@ORL","12.3","25.1","29.7","3.4","6.7","4.5","1.0","0.1"
"Al Horford","C","BOS","LAL","12.8","33.0","34.3","6.8","4.0","5.3","1.1","1.5"
"Thaddeus Young","PF","IND","LAC","14.3","28.6","31.2","8.3","2.6","6.3","1.0","0.4"
